,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
1639,1071,75 WPM,97.6%,109,4/5,"Jan. 15, 2021",
1640,1070,65 WPM,96.3%,119,2/5,"Jan. 15, 2021",
1641,1069,77 WPM,97.5%,40,3/5,"Jan. 15, 2021",
1642,1068,72 WPM,96.4%,66,4/5,"Jan. 15, 2021",
1643,1067,79 WPM,97.4%,38,2/5,"Jan. 15, 2021",
1644,1066,80 WPM,97.8%,46,2/5,"Jan. 15, 2021",
1645,1065,66 WPM,95.8%,74,3/4,"Jan. 15, 2021",
1646,1064,74 WPM,97.7%,87,2/5,"Jan. 15, 2021",
1647,1063,71 WPM,96.2%,77,3/5,"Jan. 14, 2021",
1648,1062,70 WPM,95.8%,42,4/5,"Jan. 14, 2021",
1649,1061,78 WPM,97.1%,49,2/5,"Jan. 14, 2021",
1650,1060,79 WPM,97.0%,55,1/5,"Jan. 14, 2021",
1651,1059,70 WPM,96.1%,46,5/5,"Jan. 14, 2021",
1652,1058,65 WPM,94.4%,34,4/5,"Jan. 14, 2021",
1653,1057,75 WPM,95.7%,51,2/3,"Jan. 14, 2021",
1654,1056,76 WPM,97.4%,55,2/5,"Jan. 14, 2021",
1655,1055,74 WPM,96.9%,31,2/3,"Jan. 14, 2021",
1656,1054,78 WPM,97.5%,62,2/5,"Jan. 14, 2021",
1657,1053,68 WPM,96.0%,60,2/5,"Jan. 14, 2021",
1658,1052,68 WPM,96.8%,20,2/5,"Jan. 14, 2021",
1659,1051,70 WPM,96.2%,82,1/5,"Jan. 14, 2021",
1660,1050,64 WPM,94.4%,52,2/5,"Jan. 14, 2021",
1661,1049,64 WPM,94.2%,99,2/4,"Jan. 14, 2021",
1662,1048,86 WPM,97.0%,42,2/5,"Jan. 14, 2021",
1663,1047,66 WPM,95.9%,66,4/5,"Jan. 14, 2021",
1664,1046,76 WPM,97.7%,34,1/4,"Jan. 14, 2021",
1665,1045,69 WPM,95.7%,46,4/5,"Jan. 14, 2021",
1666,1044,76 WPM,96.6%,50,3/4,"Jan. 14, 2021",
1667,1043,71 WPM,97.2%,42,3/5,"Jan. 14, 2021",
1668,1042,67 WPM,95.8%,61,4/5,"Jan. 14, 2021",
1669,1041,65 WPM,96.0%,80,4/5,"Jan. 13, 2021",
1670,1040,73 WPM,96.3%,56,3/5,"Jan. 13, 2021",
1671,1039,68 WPM,96.2%,35,3/5,"Jan. 13, 2021",
1672,1038,73 WPM,95.8%,51,4/5,"Jan. 13, 2021",
1673,1037,70 WPM,95.7%,42,4/5,"Jan. 13, 2021",
1674,1036,67 WPM,97.3%,61,3/4,"Jan. 13, 2021",
1675,1035,67 WPM,95.2%,78,3/5,"Jan. 12, 2021",
1676,1034,71 WPM,97.3%,34,2/5,"Jan. 12, 2021",
1677,1033,68 WPM,95.5%,73,2/4,"Jan. 12, 2021",
1678,1032,72 WPM,94.9%,67,2/5,"Jan. 12, 2021",
1679,1031,75 WPM,97.2%,86,2/5,"Jan. 12, 2021",
1680,1030,71 WPM,96.2%,72,3/5,"Jan. 12, 2021",
1681,1029,72 WPM,97.0%,70,5/5,"Jan. 12, 2021",
1682,1028,74 WPM,97.4%,43,2/5,"Jan. 12, 2021",
1683,1027,74 WPM,95.4%,51,4/5,"Jan. 12, 2021",
1684,1026,69 WPM,95.7%,63,3/5,"Jan. 12, 2021",
1685,1025,63 WPM,95.1%,39,5/5,"Jan. 12, 2021",
1686,1024,70 WPM,96.2%,47,3/5,"Jan. 12, 2021",
1687,1023,69 WPM,95.8%,80,4/4,"Jan. 12, 2021",
1688,1022,75 WPM,97.1%,81,2/5,"Jan. 12, 2021",
1689,1021,71 WPM,95.9%,68,4/5,"Jan. 12, 2021",
1690,1020,76 WPM,97.4%,40,1/5,"Jan. 12, 2021",
1691,1019,71 WPM,97.3%,44,2/5,"Jan. 12, 2021",
1692,1018,66 WPM,96.8%,38,1/4,"Jan. 12, 2021",
1693,1017,74 WPM,96.7%,88,1/3,"Jan. 12, 2021",
1694,1016,65 WPM,96.2%,57,3/5,"Jan. 12, 2021",
1695,1015,75 WPM,97.5%,61,1/4,"Jan. 12, 2021",
1696,1014,67 WPM,94.9%,36,4/5,"Jan. 12, 2021",
1697,1013,69 WPM,96.2%,50,2/5,"Jan. 12, 2021",
1698,1012,74 WPM,96.3%,46,5/5,"Jan. 12, 2021",
1699,1011,66 WPM,95.6%,42,3/5,"Jan. 12, 2021",
1700,1010,72 WPM,96.2%,107,1/4,"Jan. 12, 2021",
1701,1009,71 WPM,96.7%,92,2/4,"Jan. 12, 2021",
1702,1008,64 WPM,95.9%,60,2/5,"Jan. 12, 2021",
1703,1007,74 WPM,96.4%,88,2/5,"Jan. 12, 2021",
1704,1006,62 WPM,94.7%,69,2/4,"Jan. 12, 2021",
1705,1005,62 WPM,95.4%,92,4/5,"Jan. 12, 2021",
1706,1004,67 WPM,95.7%,65,1/5,"Jan. 9, 2021",
1707,1003,68 WPM,96.8%,122,3/5,"Jan. 9, 2021",
1708,1002,64 WPM,96.6%,79,1/5,"Jan. 9, 2021",
1709,1001,65 WPM,96.3%,26,3/5,"Jan. 9, 2021",
1710,1000,73 WPM,97.2%,52,4/5,"Jan. 8, 2021",
1711,999,72 WPM,96.5%,28,2/5,"Jan. 8, 2021",
1712,998,65 WPM,95.6%,30,4/5,"Jan. 8, 2021",
1713,997,78 WPM,96.7%,63,2/5,"Jan. 8, 2021",
1714,996,72 WPM,97.0%,66,3/5,"Jan. 8, 2021",
1715,995,72 WPM,96.2%,134,1/5,"Jan. 8, 2021",
1716,994,63 WPM,93.4%,40,5/5,"Jan. 8, 2021",
1717,993,75 WPM,98.0%,54,2/5,"Jan. 8, 2021",
1718,992,66 WPM,95.0%,74,4/5,"Jan. 8, 2021",
1719,991,71 WPM,95.5%,114,2/5,"Jan. 7, 2021",
1720,990,75 WPM,97.2%,49,1/5,"Jan. 7, 2021",
1721,989,68 WPM,95.2%,41,3/4,"Jan. 7, 2021",
1722,988,69 WPM,96.5%,65,2/5,"Jan. 7, 2021",
1723,987,66 WPM,96.2%,92,3/5,"Jan. 7, 2021",
1724,986,72 WPM,95.8%,52,2/5,"Jan. 7, 2021",
1725,985,82 WPM,97.4%,52,1/5,"Jan. 7, 2021",
1726,984,71 WPM,96.7%,66,3/4,"Jan. 7, 2021",
1727,983,71 WPM,96.9%,92,1/5,"Jan. 7, 2021",
1728,982,62 WPM,96.5%,57,3/5,"Jan. 7, 2021",
1729,981,66 WPM,96.5%,58,1/5,"Jan. 7, 2021",
1730,980,65 WPM,94.3%,52,1/5,"Jan. 7, 2021",
1731,979,71 WPM,96.8%,55,5/5,"Jan. 5, 2021",
1732,978,64 WPM,95.7%,90,4/5,"Jan. 5, 2021",
1733,977,69 WPM,97.3%,44,5/5,"Jan. 5, 2021",
1734,976,65 WPM,94.9%,60,4/5,"Jan. 4, 2021",
1735,975,74 WPM,97.1%,73,4/5,"Jan. 4, 2021",
1736,974,72 WPM,96.9%,32,4/5,"Jan. 4, 2021",
1737,973,65 WPM,96.6%,47,3/5,"Jan. 4, 2021",
1738,972,71 WPM,95.9%,42,1/5,"Jan. 4, 2021",
1739,971,71 WPM,97.6%,40,2/4,"Jan. 4, 2021",
1740,970,72 WPM,96.2%,47,4/5,"Jan. 3, 2021",
1741,969,77 WPM,100.0%,41,1/5,"Jan. 3, 2021",
1742,968,66 WPM,96.5%,56,5/5,"Jan. 3, 2021",
1743,967,63 WPM,94.4%,27,4/5,"Jan. 3, 2021",
1744,966,76 WPM,97.6%,47,4/5,"Jan. 3, 2021",
1745,965,71 WPM,97.3%,51,1/5,"Jan. 3, 2021",
1746,964,77 WPM,98.0%,46,2/5,"Jan. 3, 2021",
1747,963,66 WPM,95.4%,76,4/5,"Jan. 3, 2021",
1748,962,68 WPM,97.2%,42,1/5,"Jan. 2, 2021",
1749,961,67 WPM,96.2%,105,2/5,"Jan. 2, 2021",
1750,960,71 WPM,97.6%,62,2/5,"Jan. 2, 2021",
1751,959,72 WPM,97.6%,70,1/5,"Jan. 2, 2021",
1752,958,74 WPM,97.8%,40,2/4,"Jan. 2, 2021",
1753,957,72 WPM,96.7%,38,2/5,"Jan. 2, 2021",
1754,956,67 WPM,96.1%,42,1/4,"Jan. 2, 2021",
1755,955,62 WPM,95.8%,93,5/5,"Jan. 2, 2021",
1756,954,75 WPM,96.8%,41,1/5,"Jan. 1, 2021",
1757,953,70 WPM,97.3%,45,2/5,"Jan. 1, 2021",
1758,952,68 WPM,97.3%,115,2/5,"Jan. 1, 2021",
1759,951,75 WPM,97.7%,45,3/5,"Jan. 1, 2021",
1760,950,64 WPM,96.4%,28,5/5,"Jan. 1, 2021",
1761,949,77 WPM,97.9%,33,3/5,"Jan. 1, 2021",
1762,948,64 WPM,96.2%,51,2/4,"Jan. 1, 2021",
1763,947,68 WPM,97.2%,57,2/4,"Jan. 1, 2021",
1764,946,68 WPM,95.6%,61,2/5,"Jan. 1, 2021",
1765,945,66 WPM,96.0%,49,3/5,"Jan. 1, 2021",
1766,944,68 WPM,95.9%,52,1/5,"Jan. 1, 2021",
1767,943,77 WPM,98.9%,79,1/5,"Jan. 1, 2021",
1768,942,77 WPM,97.1%,51,2/5,"Jan. 1, 2021",
1769,941,58 WPM,95.5%,67,4/5,"Jan. 1, 2021",
1770,940,72 WPM,97.0%,44,3/5,"Jan. 1, 2021",
1771,939,68 WPM,95.6%,48,3/5,"Jan. 1, 2021",
1772,938,66 WPM,95.7%,50,5/5,"Jan. 1, 2021",
1773,937,61 WPM,95.0%,61,3/4,"Jan. 1, 2021",
1774,936,66 WPM,96.9%,46,4/5,"Jan. 1, 2021",
1775,935,62 WPM,94.8%,49,5/5,"Jan. 1, 2021",
1776,934,69 WPM,96.9%,58,4/5,"Dec. 31, 2020",
1777,933,64 WPM,95.9%,57,2/5,"Dec. 31, 2020",
1778,932,65 WPM,95.3%,55,2/5,"Dec. 31, 2020",
1779,931,67 WPM,95.1%,50,5/5,"Dec. 30, 2020",
1780,930,72 WPM,97.1%,52,4/5,"Dec. 30, 2020",
1781,929,75 WPM,97.8%,20,1/5,"Dec. 30, 2020",
1782,928,75 WPM,96.7%,45,2/5,"Dec. 30, 2020",
1783,927,67 WPM,95.8%,35,2/5,"Dec. 30, 2020",
1784,926,67 WPM,95.9%,64,1/5,"Dec. 30, 2020",
1785,925,65 WPM,96.2%,32,3/5,"Dec. 30, 2020",
1786,924,63 WPM,97.3%,58,2/5,"Dec. 30, 2020",
1787,923,65 WPM,96.3%,29,3/5,"Dec. 30, 2020",
1788,922,78 WPM,97.4%,65,3/5,"Dec. 30, 2020",
1789,921,77 WPM,97.9%,45,4/5,"Dec. 30, 2020",
1790,920,67 WPM,95.9%,32,1/4,"Dec. 30, 2020",
1791,919,73 WPM,97.3%,46,1/4,"Dec. 30, 2020",
1792,918,70 WPM,97.6%,58,1/5,"Dec. 30, 2020",
1793,917,70 WPM,96.9%,59,2/4,"Dec. 30, 2020",
1794,916,70 WPM,95.4%,78,3/4,"Dec. 30, 2020",
1795,915,67 WPM,96.3%,40,4/5,"Dec. 30, 2020",
1796,914,71 WPM,95.7%,40,3/5,"Dec. 30, 2020",
1797,913,62 WPM,96.2%,32,2/5,"Dec. 30, 2020",
1798,912,62 WPM,96.7%,49,3/5,"Dec. 30, 2020",
1799,911,67 WPM,94.9%,30,3/5,"Dec. 30, 2020",
1800,910,60 WPM,95.8%,55,3/3,"Dec. 30, 2020",
1801,909,67 WPM,96.0%,53,4/4,"Dec. 30, 2020",
1802,908,66 WPM,95.9%,126,3/3,"Dec. 30, 2020",
1803,907,65 WPM,96.0%,79,3/5,"Dec. 30, 2020",
1804,906,63 WPM,96.4%,67,3/5,"Dec. 29, 2020",
1805,905,65 WPM,95.5%,44,4/5,"Dec. 29, 2020",
1806,904,69 WPM,95.6%,56,5/5,"Dec. 29, 2020",
1807,903,71 WPM,96.8%,88,2/5,"Dec. 29, 2020",
1808,902,70 WPM,95.5%,41,1/5,"Dec. 29, 2020",
1809,901,76 WPM,97.5%,134,3/5,"Dec. 29, 2020",
1810,900,67 WPM,96.4%,48,3/5,"Dec. 29, 2020",
1811,899,73 WPM,97.5%,81,4/5,"Dec. 29, 2020",
1812,898,67 WPM,95.6%,35,2/5,"Dec. 29, 2020",
1813,897,65 WPM,97.1%,24,1/5,"Dec. 29, 2020",
1814,896,72 WPM,96.8%,40,2/5,"Dec. 29, 2020",
1815,895,67 WPM,95.6%,28,2/5,"Dec. 29, 2020",
1816,894,78 WPM,98.8%,40,1/5,"Dec. 29, 2020",
1817,893,70 WPM,96.9%,62,2/5,"Dec. 28, 2020",
1818,892,63 WPM,95.9%,40,4/5,"Dec. 28, 2020",
1819,891,74 WPM,97.2%,69,3/5,"Dec. 28, 2020",
1820,890,68 WPM,96.0%,70,3/5,"Dec. 28, 2020",
1821,889,78 WPM,96.7%,35,3/5,"Dec. 28, 2020",
1822,888,67 WPM,95.6%,47,5/5,"Dec. 28, 2020",
1823,887,70 WPM,96.5%,71,2/5,"Dec. 28, 2020",
1824,886,71 WPM,96.0%,63,2/5,"Dec. 28, 2020",
1825,885,73 WPM,97.5%,52,1/5,"Dec. 28, 2020",
1826,884,63 WPM,95.7%,34,1/5,"Dec. 28, 2020",
1827,883,69 WPM,97.2%,57,5/5,"Dec. 27, 2020",
1828,882,68 WPM,96.1%,31,4/4,"Dec. 27, 2020",
1829,881,63 WPM,95.9%,47,2/5,"Dec. 27, 2020",
1830,880,66 WPM,95.6%,44,4/5,"Dec. 27, 2020",
1831,879,66 WPM,97.5%,51,2/5,"Dec. 27, 2020",
1832,878,62 WPM,96.0%,56,4/5,"Dec. 27, 2020",
1833,877,83 WPM,98.3%,51,1/5,"Dec. 26, 2020",
1834,876,71 WPM,95.7%,45,5/5,"Dec. 26, 2020",
1835,875,67 WPM,95.8%,35,4/5,"Dec. 26, 2020",
1836,874,80 WPM,98.0%,84,2/5,"Dec. 26, 2020",
1837,873,69 WPM,96.0%,80,4/5,"Dec. 26, 2020",
1838,872,70 WPM,97.4%,60,4/5,"Dec. 26, 2020",
1839,871,67 WPM,95.2%,82,1/5,"Dec. 26, 2020",
1840,870,69 WPM,95.7%,54,2/5,"Dec. 26, 2020",
1841,869,75 WPM,97.9%,73,1/5,"Dec. 26, 2020",
1842,868,65 WPM,96.5%,55,1/5,"Dec. 26, 2020",
1843,867,73 WPM,98.2%,38,3/4,"Dec. 26, 2020",
1844,866,78 WPM,98.2%,42,4/5,"Dec. 26, 2020",
1845,865,61 WPM,96.1%,60,2/5,"Dec. 25, 2020",
1846,864,64 WPM,96.0%,45,1/4,"Dec. 25, 2020",
1847,863,66 WPM,96.4%,97,5/5,"Dec. 25, 2020",
1848,862,72 WPM,97.6%,66,1/5,"Dec. 25, 2020",
1849,861,70 WPM,96.6%,50,4/5,"Dec. 25, 2020",
1850,860,67 WPM,94.3%,63,3/5,"Dec. 25, 2020",
1851,859,74 WPM,96.9%,94,1/4,"Dec. 25, 2020",
1852,858,68 WPM,95.9%,73,3/5,"Dec. 25, 2020",
1853,857,70 WPM,97.4%,49,3/5,"Dec. 25, 2020",
1854,856,67 WPM,95.4%,75,2/5,"Dec. 24, 2020",
1855,855,70 WPM,95.9%,35,2/5,"Dec. 23, 2020",
1856,854,70 WPM,96.8%,94,2/5,"Dec. 23, 2020",
1857,853,69 WPM,96.6%,61,3/4,"Dec. 23, 2020",
1858,852,84 WPM,98.5%,56,1/5,"Dec. 23, 2020",
1859,851,74 WPM,97.8%,65,1/5,"Dec. 23, 2020",
1860,850,70 WPM,98.0%,71,4/5,"Dec. 23, 2020",
1861,849,69 WPM,98.0%,41,3/5,"Dec. 23, 2020",
1862,848,69 WPM,96.8%,33,3/5,"Dec. 23, 2020",
1863,847,70 WPM,96.3%,35,2/5,"Dec. 23, 2020",
1864,846,70 WPM,96.9%,87,1/4,"Dec. 23, 2020",
1865,845,72 WPM,97.0%,131,3/4,"Dec. 23, 2020",
1866,844,77 WPM,98.0%,54,1/4,"Dec. 23, 2020",
1867,843,66 WPM,95.2%,63,3/4,"Dec. 23, 2020",
1868,842,66 WPM,96.6%,51,3/5,"Dec. 23, 2020",
1869,841,61 WPM,94.5%,25,2/4,"Dec. 23, 2020",
1870,840,69 WPM,96.8%,69,3/5,"Dec. 23, 2020",
1871,839,67 WPM,95.9%,49,1/4,"Dec. 23, 2020",
1872,838,70 WPM,96.3%,41,4/5,"Dec. 23, 2020",
1873,837,68 WPM,97.1%,15,3/5,"Dec. 23, 2020",
1874,836,74 WPM,97.5%,75,3/5,"Dec. 23, 2020",
1875,835,69 WPM,94.8%,30,4/5,"Dec. 23, 2020",
1876,834,76 WPM,95.7%,20,3/5,"Dec. 23, 2020",
1877,833,70 WPM,96.1%,128,2/5,"Dec. 23, 2020",
1878,832,84 WPM,99.5%,58,1/5,"Dec. 23, 2020",
1879,831,72 WPM,95.8%,103,2/5,"Dec. 23, 2020",
1880,830,73 WPM,96.1%,88,2/4,"Dec. 23, 2020",
1881,829,73 WPM,97.2%,90,2/5,"Dec. 23, 2020",
1882,828,70 WPM,96.6%,58,5/5,"Dec. 23, 2020",
1883,827,70 WPM,97.8%,41,2/5,"Dec. 23, 2020",
1884,826,81 WPM,97.9%,37,3/5,"Dec. 23, 2020",
1885,825,68 WPM,97.7%,52,2/5,"Dec. 23, 2020",
1886,824,74 WPM,97.6%,63,2/5,"Dec. 23, 2020",
1887,823,64 WPM,95.9%,72,3/5,"Dec. 23, 2020",
1888,822,81 WPM,95.9%,17,2/5,"Dec. 23, 2020",
1889,821,77 WPM,97.3%,45,3/5,"Dec. 23, 2020",
1890,820,73 WPM,97.5%,38,4/5,"Dec. 23, 2020",
1891,819,77 WPM,96.9%,31,1/5,"Dec. 23, 2020",
1892,818,70 WPM,97.2%,48,1/5,"Dec. 23, 2020",
1893,817,71 WPM,98.2%,47,4/5,"Dec. 22, 2020",
1894,816,70 WPM,97.0%,65,2/4,"Dec. 22, 2020",
1895,815,64 WPM,97.6%,32,5/5,"Dec. 22, 2020",
1896,814,68 WPM,95.7%,25,4/5,"Dec. 22, 2020",
1897,813,72 WPM,97.6%,48,1/5,"Dec. 22, 2020",
1898,812,75 WPM,97.1%,39,1/5,"Dec. 22, 2020",
1899,811,67 WPM,95.8%,36,3/5,"Dec. 22, 2020",
1900,810,68 WPM,97.6%,40,3/5,"Dec. 22, 2020",
1901,809,64 WPM,94.8%,71,4/4,"Dec. 22, 2020",
1902,808,64 WPM,95.6%,66,3/5,"Dec. 22, 2020",
1903,807,66 WPM,95.6%,99,4/4,"Dec. 22, 2020",
1904,806,73 WPM,96.7%,41,4/5,"Dec. 22, 2020",
1905,805,69 WPM,96.7%,112,3/4,"Dec. 22, 2020",
1906,804,68 WPM,96.2%,35,5/5,"Dec. 22, 2020",
1907,803,66 WPM,95.8%,69,5/5,"Dec. 22, 2020",
1908,802,65 WPM,96.1%,57,5/5,"Dec. 22, 2020",
1909,801,73 WPM,96.8%,45,5/5,"Dec. 22, 2020",
1910,800,70 WPM,96.0%,50,4/5,"Dec. 22, 2020",
1911,799,71 WPM,97.3%,105,1/5,"Dec. 22, 2020",
1912,798,77 WPM,97.8%,62,1/5,"Dec. 22, 2020",
1913,797,66 WPM,97.7%,107,3/4,"Dec. 22, 2020",
1914,796,64 WPM,97.0%,37,3/5,"Dec. 22, 2020",
1915,795,57 WPM,93.7%,40,3/5,"Dec. 21, 2020",
1916,794,73 WPM,97.5%,85,2/5,"Dec. 21, 2020",
1917,793,75 WPM,96.2%,55,3/5,"Dec. 21, 2020",
1918,792,69 WPM,97.0%,74,1/5,"Dec. 21, 2020",
1919,791,67 WPM,96.4%,40,3/5,"Dec. 21, 2020",
1920,790,71 WPM,95.3%,40,2/5,"Dec. 21, 2020",
1921,789,71 WPM,96.1%,55,1/5,"Dec. 21, 2020",
1922,788,75 WPM,97.6%,133,4/5,"Dec. 21, 2020",
1923,787,75 WPM,96.3%,51,2/5,"Dec. 21, 2020",
1924,786,75 WPM,97.5%,54,4/5,"Dec. 21, 2020",
1925,785,71 WPM,96.4%,83,1/5,"Dec. 21, 2020",
1926,784,69 WPM,96.6%,65,4/5,"Dec. 21, 2020",
1927,783,71 WPM,97.3%,51,2/5,"Dec. 21, 2020",
1928,782,73 WPM,97.4%,80,1/5,"Dec. 21, 2020",
1929,781,69 WPM,96.4%,51,2/5,"Dec. 21, 2020",
1930,780,64 WPM,95.4%,96,1/5,"Dec. 21, 2020",
1931,779,70 WPM,95.8%,48,2/5,"Dec. 21, 2020",
1932,778,69 WPM,95.8%,46,1/5,"Dec. 21, 2020",
1933,777,65 WPM,94.9%,88,2/5,"Dec. 21, 2020",
1934,776,63 WPM,96.0%,51,5/5,"Dec. 21, 2020",
1935,775,65 WPM,95.9%,77,3/5,"Dec. 21, 2020",
1936,774,63 WPM,95.6%,52,3/5,"Dec. 21, 2020",
1937,773,66 WPM,97.4%,59,3/5,"Dec. 20, 2020",
1938,772,69 WPM,96.7%,62,5/5,"Dec. 20, 2020",
1939,771,69 WPM,95.9%,69,4/5,"Dec. 19, 2020",
1940,770,64 WPM,96.9%,45,2/5,"Dec. 19, 2020",
1941,769,53 WPM,94.9%,24,4/5,"Dec. 19, 2020",
1942,768,66 WPM,95.6%,47,3/5,"Dec. 19, 2020",
1943,767,76 WPM,97.8%,42,1/5,"Dec. 19, 2020",
1944,766,72 WPM,96.9%,53,2/5,"Dec. 19, 2020",
1945,765,68 WPM,96.5%,40,2/5,"Dec. 19, 2020",
1946,764,67 WPM,95.6%,39,3/5,"Dec. 19, 2020",
1947,763,69 WPM,97.9%,67,1/5,"Dec. 19, 2020",
1948,762,74 WPM,95.7%,53,3/5,"Dec. 19, 2020",
1949,761,70 WPM,97.1%,125,2/4,"Dec. 18, 2020",
1950,760,57 WPM,95.4%,25,4/5,"Dec. 18, 2020",
1951,759,70 WPM,97.8%,45,4/4,"Dec. 18, 2020",
1952,758,69 WPM,97.6%,28,3/5,"Dec. 18, 2020",
1953,757,61 WPM,95.8%,56,3/5,"Dec. 18, 2020",
1954,756,67 WPM,96.9%,72,5/5,"Dec. 18, 2020",
1955,755,64 WPM,97.1%,74,1/5,"Dec. 18, 2020",
1956,754,66 WPM,95.9%,54,5/5,"Dec. 18, 2020",
1957,753,71 WPM,97.4%,65,1/5,"Dec. 18, 2020",
1958,752,62 WPM,95.9%,52,2/3,"Dec. 18, 2020",
1959,751,63 WPM,96.2%,57,4/4,"Dec. 18, 2020",
1960,750,68 WPM,96.6%,45,1/5,"Dec. 18, 2020",
1961,749,72 WPM,97.5%,135,2/4,"Dec. 18, 2020",
1962,748,75 WPM,97.6%,56,4/5,"Dec. 18, 2020",
1963,747,65 WPM,94.8%,55,5/5,"Dec. 18, 2020",
1964,746,59 WPM,94.3%,25,3/5,"Dec. 18, 2020",
1965,745,70 WPM,97.3%,47,2/5,"Dec. 18, 2020",
1966,744,68 WPM,97.1%,99,1/4,"Dec. 18, 2020",
1967,743,61 WPM,94.1%,33,3/5,"Dec. 18, 2020",
1968,742,60 WPM,94.5%,36,1/4,"Dec. 18, 2020",
1969,741,67 WPM,97.5%,55,1/4,"Dec. 18, 2020",
1970,740,68 WPM,96.9%,61,2/4,"Dec. 18, 2020",
1971,739,70 WPM,97.3%,86,2/5,"Dec. 18, 2020",
1972,738,68 WPM,96.8%,51,2/5,"Dec. 18, 2020",
1973,737,60 WPM,95.4%,47,1/4,"Dec. 18, 2020",
1974,736,64 WPM,95.1%,34,1/5,"Dec. 18, 2020",
1975,735,71 WPM,96.7%,27,1/5,"Dec. 18, 2020",
1976,734,61 WPM,95.5%,29,4/5,"Dec. 18, 2020",
1977,733,70 WPM,97.3%,36,5/5,"Dec. 17, 2020",
1978,732,65 WPM,96.3%,45,4/5,"Dec. 17, 2020",
1979,731,72 WPM,98.4%,47,3/5,"Dec. 16, 2020",
1980,730,66 WPM,95.1%,66,5/5,"Dec. 16, 2020",
1981,729,62 WPM,97.4%,37,1/4,"Dec. 16, 2020",
1982,728,68 WPM,95.2%,59,5/5,"Dec. 16, 2020",
1983,727,69 WPM,96.5%,40,1/5,"Dec. 16, 2020",
1984,726,63 WPM,96.6%,43,4/5,"Dec. 16, 2020",
1985,725,63 WPM,95.3%,61,3/5,"Dec. 16, 2020",
1986,724,63 WPM,96.4%,78,4/4,"Dec. 16, 2020",
1987,723,65 WPM,95.8%,28,5/5,"Dec. 16, 2020",
1988,722,72 WPM,97.2%,72,2/5,"Dec. 16, 2020",
1989,721,66 WPM,96.5%,70,1/5,"Dec. 16, 2020",
1990,720,66 WPM,96.9%,40,1/5,"Dec. 16, 2020",
1991,719,59 WPM,96.4%,73,2/5,"Dec. 16, 2020",
1992,718,61 WPM,97.8%,72,1/4,"Dec. 16, 2020",
1993,717,56 WPM,95.2%,56,2/4,"Dec. 16, 2020",
1994,716,71 WPM,98.2%,41,4/5,"Dec. 16, 2020",
1995,715,68 WPM,97.6%,74,2/3,"Dec. 16, 2020",
1996,714,67 WPM,99.3%,28,3/5,"Dec. 16, 2020",
1997,713,63 WPM,97.0%,45,3/5,"Dec. 16, 2020",
1998,712,64 WPM,96.7%,61,3/5,"Dec. 16, 2020",
1999,711,66 WPM,97.5%,42,2/5,"Dec. 16, 2020",
2000,710,64 WPM,95.8%,65,2/4,"Dec. 16, 2020",
2001,709,66 WPM,96.3%,42,2/5,"Dec. 16, 2020",
2002,708,66 WPM,96.5%,63,4/4,"Dec. 16, 2020",
2003,707,66 WPM,96.5%,33,3/4,"Dec. 16, 2020",
2004,706,62 WPM,98.4%,34,2/4,"Dec. 16, 2020",
2005,705,58 WPM,96.9%,64,3/4,"Dec. 16, 2020",
2006,704,61 WPM,96.3%,159,2/3,"Dec. 16, 2020",
2007,703,64 WPM,97.5%,45,3/5,"Dec. 16, 2020",
2008,702,72 WPM,97.5%,48,1/5,"Dec. 16, 2020",
2009,701,67 WPM,97.4%,84,2/3,"Dec. 16, 2020",
2010,700,62 WPM,96.7%,80,2/4,"Dec. 16, 2020",
2011,699,64 WPM,95.2%,86,4/5,"Dec. 16, 2020",
2012,698,65 WPM,97.5%,47,1/4,"Dec. 16, 2020",
2013,697,69 WPM,95.2%,45,4/5,"Dec. 16, 2020",
2014,696,72 WPM,98.1%,51,3/5,"Dec. 16, 2020",
2015,695,66 WPM,97.6%,50,3/4,"Dec. 16, 2020",
2016,694,68 WPM,97.8%,38,5/5,"Dec. 16, 2020",
2017,693,60 WPM,96.2%,39,2/5,"Dec. 16, 2020",
2018,692,68 WPM,96.5%,52,5/5,"Dec. 16, 2020",
2019,691,69 WPM,97.1%,46,1/5,"Dec. 16, 2020",
2020,690,68 WPM,97.4%,93,1/5,"Dec. 16, 2020",
2021,689,60 WPM,95.6%,47,2/5,"Dec. 16, 2020",
2022,688,75 WPM,97.5%,35,2/5,"Dec. 16, 2020",
2023,687,63 WPM,96.9%,21,3/5,"Dec. 16, 2020",
2024,686,61 WPM,96.3%,22,3/4,"Dec. 16, 2020",
2025,685,70 WPM,97.2%,42,4/5,"Dec. 16, 2020",
2026,684,73 WPM,98.4%,105,1/4,"Dec. 16, 2020",
2027,683,64 WPM,96.2%,33,3/5,"Dec. 16, 2020",
2028,682,61 WPM,96.1%,34,3/5,"Dec. 16, 2020",
2029,681,62 WPM,96.0%,84,3/5,"Dec. 16, 2020",
2030,680,65 WPM,97.2%,62,2/5,"Dec. 16, 2020",
2031,679,70 WPM,96.1%,72,1/4,"Dec. 16, 2020",
2032,678,58 WPM,96.2%,36,2/5,"Dec. 16, 2020",
2033,677,62 WPM,96.2%,70,5/5,"Dec. 16, 2020",
2034,676,68 WPM,97.6%,38,4/5,"Dec. 16, 2020",
2035,675,63 WPM,98.0%,68,3/3,"Dec. 16, 2020",
