,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
319,2391,81 WPM,98.0%,36,2/5,"May 16, 2021",
320,2390,78 WPM,96.3%,75,3/4,"May 16, 2021",
321,2389,78 WPM,97.3%,50,3/5,"May 16, 2021",
322,2388,84 WPM,98.4%,52,2/5,"May 16, 2021",
323,2387,76 WPM,97.1%,112,3/5,"May 14, 2021",
324,2386,76 WPM,97.6%,54,1/5,"May 14, 2021",
325,2385,85 WPM,97.4%,48,1/5,"May 14, 2021",
326,2384,81 WPM,97.3%,56,3/5,"May 12, 2021",
327,2383,84 WPM,96.4%,74,2/5,"May 12, 2021",
328,2382,86 WPM,96.0%,78,1/5,"May 12, 2021",
329,2381,84 WPM,98.2%,61,1/5,"May 12, 2021",
330,2380,87 WPM,97.4%,53,1/5,"May 12, 2021",
331,2379,77 WPM,96.1%,140,2/4,"May 12, 2021",
332,2378,75 WPM,96.4%,44,2/5,"May 12, 2021",
333,2377,84 WPM,98.4%,72,1/5,"May 12, 2021",
334,2376,80 WPM,97.8%,57,3/5,"May 12, 2021",
335,2375,75 WPM,96.0%,56,2/5,"May 12, 2021",
336,2374,75 WPM,96.1%,71,3/5,"May 12, 2021",
337,2373,81 WPM,97.3%,62,1/5,"May 12, 2021",
338,2372,78 WPM,96.7%,57,3/5,"May 10, 2021",
339,2371,87 WPM,97.4%,56,4/5,"May 10, 2021",
340,2370,78 WPM,97.2%,47,4/5,"May 10, 2021",
341,2369,86 WPM,97.1%,46,1/5,"May 10, 2021",
342,2368,79 WPM,95.9%,48,4/5,"May 8, 2021",
343,2367,76 WPM,96.1%,124,4/5,"May 8, 2021",
344,2366,83 WPM,97.2%,68,2/5,"May 8, 2021",
345,2365,84 WPM,98.1%,28,3/5,"May 8, 2021",
346,2364,72 WPM,96.4%,67,5/5,"May 8, 2021",
347,2363,77 WPM,97.4%,71,3/5,"May 8, 2021",
348,2362,80 WPM,96.5%,43,3/5,"May 8, 2021",
349,2361,84 WPM,97.4%,67,3/5,"May 5, 2021",
350,2360,82 WPM,97.0%,40,2/5,"May 5, 2021",
351,2359,80 WPM,96.2%,53,1/5,"May 5, 2021",
352,2358,79 WPM,95.8%,93,4/5,"May 5, 2021",
353,2357,84 WPM,97.2%,81,3/4,"May 5, 2021",
354,2356,81 WPM,97.1%,109,3/4,"May 5, 2021",
355,2355,77 WPM,96.7%,62,1/5,"May 5, 2021",
356,2354,79 WPM,96.1%,84,4/5,"May 5, 2021",
357,2353,81 WPM,96.1%,109,1/4,"May 5, 2021",
358,2352,88 WPM,96.6%,56,2/5,"May 5, 2021",
